variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count
plant,532.5,1679.9,1147.4,-1188.6000000000001,3401.0,82
invest,101.75,413.3,311.55,-365.57500000000005,880.625,79
matcost,1953.625,7147.9,5194.275,-5837.787499999999,14939.3125,79
cap,1690.1000000000001,5545.599999999999,3855.499999999999,-4093.149999999998,11328.849999999999,76
equip,1094.55,3877.0499999999997,2782.5,-3079.2,8050.799999999999,76
cap_labor_ratio,97.40872201492537,253.33133561643837,155.92261360151298,-136.4751983873441,487.2152560187078,70
prodw,331.1,1118.0500000000002,786.9500000000002,-849.3250000000002,2298.4750000000004,68
revenue_per_worker,271.65246113035147,556.3757259001161,284.7232647697646,-155.43243602429544,983.460623054763,65
labor_productivity,133.9041851286894,255.1346601489758,121.2304750202864,-47.94152740174022,436.9803726794054,64
pay,604.05,2045.725,1441.675,-1558.4624999999999,4208.237499999999,64
non_prod_workers,2.8999999999999995,10.725000000000003,7.825000000000004,-8.837500000000006,22.46250000000001,63
emp,10.575,35.075,24.500000000000004,-26.175000000000008,71.82500000000002,57
prodh,14.1,50.025,35.925,-39.787499999999994,103.9125,56
prode,6.9,24.924999999999997,18.025,-20.137499999999996,51.96249999999999,54
robots_adopted,107.0,253.0,146.0,-112.0,472.0,0
robotics_productivity_gain,7.86,16.99,9.129999999999999,-5.834999999999998,30.684999999999995,0
jobs_displaced,293.0,366.0,73.0,183.5,475.5,0
robotics_cost_savings,170.67,195.43,24.76000000000002,133.52999999999997,232.57000000000005,0
training_hours,161.0,472.0,311.0,-305.5,938.5,0
manuf_export_share,63.2604946594473,63.7146529670619,0.4541583076145983,62.5792571980254,64.3958904284838,0
inflation,0.695,2.197,1.5020000000000002,-1.5580000000000003,4.45,0
gdp_per_capita,57006.93,58179.7,1172.7699999999968,55247.77500000001,59938.854999999996,0
year,2015.0,2016.0,1.0,2013.5,2017.5,0
real_gdp,18799.6,19141.68,342.08000000000175,18286.479999999996,19654.800000000003,0
